Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,2019-12,2019-12,2020-01,2020-01,2020-01,2020-01,2020-01,2020-02,2020-02,2020-02,2020-02,2020-02,2020-03,2020-03,2020-03,2020-03,2020-03,2020-03,2020-04,2020-04,2020-04,2020-04,2020-04,2020-05,2020-05,2020-05,2020-05,2020-05,2020-06,2020-06,2020-06,2020-06,2020-06,2020-07,2020-07,2020-07,2020-07,2020-07,2020-08,2020-08,2020-08,2020-08,2020-08,2020-08,2020-09,2020-09,2020-09,2020-09,2020-09,2020-10,2020-10,2020-10,2020-10,2020-10,2020-11,2020-11,2020-11,2020-11,2020-11,2020-11,2020-12,2020-12,2020-12,2020-12,2020-12,2021-01
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,W52,W01,W01,W02,W03,W04,W05,W05,W06,W07,W08,W09,W09,W10,W11,W12,W13,W14,W14,W15,W16,W17,W18,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W27,W28,W29,W30,W31,W31,W32,W33,W34,W35,W36,W36,W37,W38,W39,W40,W40,W41,W42,W43,W44,W44,W45,W46,W47,W48,W49,W49,W50,W51,W52,W53,W53
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200310_V001,MF_W_20200310_V001,,,,,84,236,252,332,504,,420,336,672,503,,504,504,84,420,252,336,672,672,"1,092",756,,682,730,918,812,"1,010","1,046","1,038",986,252,768,614,12,32,8,,"1,064","1,144","1,138","1,118",252,860,"1,120","1,144","1,122",450,670,"1,112","1,112","1,116","1,112",,"1,070","1,136","1,170","1,112",252,906,"1,124","1,112","1,034",,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200317_V001,MF_W_20200317_V001,,,,,84,236,252,332,504,,420,336,672,503,,588,252,84,420,252,420,588,672,924,588,168,934,756,880,812,"1,012","1,048","1,034",986,252,766,618,12,32,8,,"1,068","1,144","1,138","1,112",252,860,"1,120","1,144","1,122",442,670,"1,112","1,112","1,116","1,112",,"1,112","1,136","1,172","1,112",252,902,"1,124",696,"1,036",,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200324_V001,MF_W_20200324_V001,,,,,84,236,252,332,504,,420,336,672,503,,588,504,84,,,,,336,588,890,222,"1,112","1,112","1,112","1,112","1,112","1,112","1,112","1,112",444,668,"1,112",12,32,8,,"1,068","1,144","1,138","1,112",252,860,"1,120","1,144","1,122",442,670,"1,112","1,112","1,116","1,112",,"1,112","1,136","1,172","1,112",252,902,"1,124",696,"1,036",,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200331_V001,MF_W_20200331_V001,,,,,84,236,252,332,504,,420,336,672,503,,588,504,84,,,,,,596,588,84,"1,008","1,260","1,260","1,260","1,272","1,260","1,272","1,272",504,780,620,28,8,20,,"1,068","1,144","1,138","1,112",252,860,"1,120","1,144","1,122",442,670,"1,112","1,112","1,116","1,112",,"1,112","1,136","1,172","1,112",252,902,"1,124",696,"1,036",,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200407_V001,MF_W_20200407_V001,,,,,84,236,252,332,504,,420,336,672,503,,588,503,84,,,,,,512,504,168,840,"1,176",756,"1,176","1,356","1,202","1,262","1,232",168,322,612,28,8,20,,"1,096","1,260","1,260","1,260",252,"1,008","1,260","1,260","1,260",756,504,"1,260","1,260","1,260","1,260",,"1,260","1,260","1,260","1,260",252,"1,008","1,260","1,260","1,260",,52
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200414_V001,MF_W_20200414_V001,,,,,84,236,252,332,504,,420,336,672,503,,588,503,84,,,,,,92,420,168,840,"1,260",840,"1,176","1,356","1,176","1,256","1,232",168,320,612,28,8,20,,"1,096","1,260","1,260","1,260",252,"1,008","1,260","1,260","1,260",756,504,"1,260","1,260","1,260","1,260",,"1,260","1,260","1,260","1,260",252,"1,008","1,260","1,260","1,260",,52
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200421_V001,MF_W_20200421_V001,,,,,84,236,252,332,504,,420,336,672,503,,588,503,84,,,,,,,84,8,588,"1,176",840,"1,260","1,020","1,260","1,272","1,242",328,612,310,28,8,20,,"1,048","1,110","1,110","1,108",144,948,"1,086","1,052","1,140",646,556,"1,096","1,096","1,046",848,,946,"1,244","1,146","1,152",168,962,"1,136",714,"1,044",,52
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200428_V001,MF_W_20200428_V001,,,,,84,236,252,332,504,,420,336,672,503,,588,503,84,,,,,,,,,420,840,924,"1,092","1,104","1,176","1,188","1,188",336,528,536,28,8,20,,804,972,"1,112","1,020",168,864,"1,052","1,020","1,128",588,556,"1,052","1,136","1,008",840,,900,"1,212","1,128","1,152",168,962,"1,136",752,840,,52
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200505_V001,MF_W_20200505_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,,399,"1,008",672,"1,260","1,008","1,260","1,260","1,260",420,756,336,,,,63,"1,008","1,155","1,092","1,155",168,924,"1,071","1,008","1,176",588,567,"1,155","1,092","1,008",840,,903,"1,302","1,092","1,155",168,987,"1,155",798,"1,008",,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200512_V001,MF_W_20200512_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,,,"1,071",756,"1,176","1,008","1,344","1,176","1,260",252,"1,008",840,,,,63,"1,176","1,155","1,176","1,155",168,"1,008","1,155","1,176","1,092",588,567,"1,155","1,092","1,092",924,,987,"1,218","1,092","1,155",168,987,"1,155",798,"1,008",,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200519_V001,MF_W_20200519_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,,336,819,924,"1,176","1,008","1,344","1,260","1,176",336,"1,176",688,,,,63,"1,176","1,155","1,176","1,155",168,"1,008","1,155","1,176","1,092",588,567,"1,155","1,092","1,092",924,,987,"1,218","1,092","1,155",168,987,"1,155",798,"1,008",,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200526_V001,MF_W_20200526_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,,336,819,840,"1,092","1,008","1,260","1,260","1,344",336,"1,092",820,,,,63,"1,176","1,155","1,176","1,155",168,"1,008","1,155","1,176","1,092",588,567,"1,155","1,092","1,092",924,,987,"1,218","1,092","1,155",168,987,"1,155",798,"1,008",,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200602_V001,MF_W_20200602_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,"1,092","1,260","1,260","1,260",252,"1,260",924,,,,63,"1,008","1,239","1,176","1,239",168,"1,008","1,239","1,092","1,092",672,567,"1,239","1,176","1,176",924,,"1,071","1,302","1,176","1,239",168,987,"1,155",882,"1,092",,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200609_V001,MF_W_20200609_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,260","1,260","1,260",420,"1,092",504,,,,63,"1,092","1,239","1,176","1,239",168,"1,008","1,239","1,092","1,092",672,567,"1,239","1,176","1,176",924,,"1,071","1,302","1,176","1,239",168,987,"1,155",882,"1,092",,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200616_V001,MF_W_20200616_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,260","1,596","1,176",420,"1,092",504,,,,63,"1,260","1,155","1,176","1,155",252,"1,344","1,155","1,092","1,176",672,651,"1,239","1,176","1,176",924,,"1,071","1,302","1,176","1,239",168,"1,071","1,155",882,924,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200623_V001,MF_W_20200623_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,260","1,344","1,512",420,"1,092",420,,,,63,"1,260","1,155","1,176","1,155",252,"1,344","1,155","1,092","1,176",672,651,"1,239","1,176","1,176",924,,"1,071","1,302","1,176","1,239",168,"1,071","1,155",882,924,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200630_V001,MF_W_20200630_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",504,"1,008",504,,,,63,"1,176","1,239","1,176","1,323",168,"1,008","1,239","1,092","1,428",672,567,"1,239","1,176","1,176",924,,"1,071","1,302","1,176","1,239",168,"1,071","1,155",882,924,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200707_V001,MF_W_20200707_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,504,,,,,"1,239","1,239","1,176","1,323",168,"1,008","1,239","1,176","1,428",672,735,"1,155","1,092","1,092",924,,987,"1,302","1,176","1,239",168,"1,071","1,239",882,924,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200714_V001,MF_W_20200714_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,,,,,903,"1,239","1,176","1,323",168,"1,008","1,239","1,176","1,260",588,735,"1,155","1,092","1,092",924,,987,"1,302","1,176","1,239",168,"1,071","1,239",798,840,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200721_V001,MF_W_20200721_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,,,,,903,"1,239","1,176","1,323",168,"1,008","1,239","1,176","1,260",588,735,"1,155","1,092","1,092",924,,987,"1,302","1,176","1,239",168,"1,071","1,239",798,840,,
