Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,2019-12,2019-12,2020-01,2020-01,2020-01,2020-01,2020-01,2020-02,2020-02,2020-02,2020-02,2020-02,2020-03,2020-03,2020-03,2020-03,2020-03,2020-03,2020-04,2020-04,2020-04,2020-04,2020-04,2020-05,2020-05,2020-05,2020-05,2020-05,2020-06,2020-06,2020-06,2020-06,2020-06,2020-07,2020-07,2020-07,2020-07,2020-07,2020-08,2020-08,2020-08,2020-08,2020-08,2020-08,2020-09,2020-09,2020-09,2020-09,2020-09,2020-10,2020-10,2020-10,2020-10,2020-10,2020-11,2020-11,2020-11,2020-11,2020-11,2020-11,2020-12,2020-12,2020-12,2020-12,2020-12,2021-01
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,W52,W01,W01,W02,W03,W04,W05,W05,W06,W07,W08,W09,W09,W10,W11,W12,W13,W14,W14,W15,W16,W17,W18,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W27,W28,W29,W30,W31,W31,W32,W33,W34,W35,W36,W36,W37,W38,W39,W40,W40,W41,W42,W43,W44,W44,W45,W46,W47,W48,W49,W49,W50,W51,W52,W53,W53
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201006_V001,MF_W_20201006_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092","1,008","1,260",819,,"1,260",672,"1,323","1,176",252,"1,071","1,260",819,"1,092",,63
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201013_V001,MF_W_20201013_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092","1,008","1,260",735,,"1,260",672,"1,323","1,176",252,"1,071","1,260",819,"1,092",,63
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201020_V001,MF_W_20201020_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092",924,"1,260",735,,"1,260",756,"1,323","1,176",252,"1,071","1,260",819,"1,092",,63
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201027_V001,MF_W_20201027_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092",924,"1,092",735,,"1,260","1,008","1,176","1,239",168,"1,071","1,260",819,"1,092",,63
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201103_V001,MF_W_20201103_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,260","1,008","1,176","1,239",168,"1,092","1,092","1,092",924,,63
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201110_V001,MF_W_20201110_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,092","1,176","1,239",168,987,"1,176","1,239",924,,63
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201117_V001,MF_W_20201117_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,176","1,155",168,987,"1,260","1,155",840,,63
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201124_V001,MF_W_20201124_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,176",168,987,"1,176","1,155",420,252,252
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201201_V001,MF_W_20201201_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",168,987,"1,176","1,155",168,504,252
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201208_V001,MF_W_20201208_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,"1,407","1,155",168,420,336
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201215_V001,MF_W_20201215_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,"1,155",168,420,336
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201222_V001,MF_W_20201222_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,840,840,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201229_V001,MF_W_20201229_V001,,,,,84,236,252,332,504,,420,336,672,503,,,,,,,,,,,,-4,335,819,840,840,924,"1,258","1,344","1,176",588,840,666,-2,,,,"1,407","1,008","1,258",924,504,"1,008","1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,840,
