Prev_Sale_8,Prev_Sale_7,Prev_Sale_6,Prev_Sale_5,Prev_Sale_4,Prev_Sale_3,Prev_Sale_2,Prev_Sale_1,Post_Sale_1,Post_Sale_2,Post_Sale_3,Post_Sale_4,Post_Sale_5,Post_Sale_6,Post_Sale_7,Post_Sale_8,Var_Sale_1,Var_Sale_2,Var_Sale_3,Var_Sale_4,Var_Sale_5,Var_Sale_6,Var_Sale_7,Var_Sale_8,YEAR,WW,Sales
236,252,332,504,420,336,672,503,588,84,420,672,588,672,1092,924,504,504,504,504,504,588,588,580,2020,10,588
252,332,504,420,336,672,503,504,84,420,588,672,672,1092,756,682,588,672,672,672,672,672,672,672,2020,11,503
332,504,420,336,672,503,588,252,420,672,588,672,924,756,934,756,84,84,672,672,672,1030,1030,1030,2020,12,84
504,420,336,672,503,588,504,84,-999,-999,336,588,1112,1112,1112,1112,420,420,420,1008,1008,1008,1260,1260,2020,13,-999
420,336,672,503,588,504,84,-999,-999,-999,596,672,1008,1260,1260,1260,-999,672,588,672,1092,1092,1092,866,2020,14,-999
336,672,503,588,503,84,-999,-999,-999,512,672,840,1176,756,1176,1356,-999,-999,588,672,588,924,924,924,2020,15,-999
672,503,588,503,84,-999,-999,-999,92,588,840,1260,840,1176,1356,1176,-999,-999,336,672,672,672,1124,1124,2020,16,-999
503,588,503,84,-999,-999,-999,-999,92,588,1176,840,1260,1020,1260,1272,92,512,596,588,924,1092,1092,888,2020,17,-999
588,503,84,-999,-999,-999,-999,-999,420,840,924,1092,1104,1176,1188,1188,92,588,672,672,1112,756,756,924,2020,18,-999
-999,-999,-999,-999,-999,-999,-999,-999,1008,672,1260,1008,1260,1260,1260,1176,420,588,840,840,1008,1112,934,682,2020,19,335
-999,-999,-999,-999,-999,-999,-999,-999,756,1176,1008,1344,1176,1260,1260,840,1008,840,1176,1260,1176,1260,1112,756,2020,20,819
-999,-999,-999,-999,-999,-999,336,819,1176,1008,1344,1260,1176,1512,688,-999,756,672,924,840,840,756,1260,1112,2020,21,840
-999,-999,-999,-999,-999,336,819,840,1008,1260,1260,1344,1428,820,-999,-999,1176,1176,1260,1092,1260,1176,1176,1260,2020,22,840
-999,-999,-999,-999,335,819,840,840,1260,1260,1260,1512,924,-999,-999,63,1008,1008,1008,1008,1104,1020,1356,1356,2020,23,924
-999,-999,-999,335,819,840,840,924,1260,1260,1512,504,-999,-999,63,1092,1260,1260,1344,1344,1260,1176,1260,1176,2020,24,1258
-999,-999,335,819,840,840,924,1260,1176,1512,504,-999,-999,63,1260,1155,1260,1260,1260,1260,1176,1260,1188,1272,2020,25,1344
-999,335,819,840,840,924,1260,1344,1512,420,-999,-999,63,1260,1155,1176,1176,1260,1260,1344,1176,1260,1260,1188,2020,26,1176
335,819,840,840,924,1258,1344,1176,504,-999,-999,63,1176,1239,1176,1323,1512,1512,1512,1512,1428,1512,1260,1176,2020,27,1428
819,840,840,924,1258,1344,1176,1428,-999,-999,-999,1239,1239,1176,1323,1176,504,420,504,504,924,820,688,840,2020,28,666
840,840,924,1258,1344,1176,1428,666,-999,-999,903,1239,1176,1323,1176,1239,-999,-999,-999,-999,-999,-999,-999,-999,2020,29,-999
840,924,1258,1344,1176,1428,666,-999,-999,903,1239,1176,1323,1176,1239,1176,-999,-999,-999,-999,-999,-999,-999,-999,2020,30,-999
924,1258,1344,1176,1428,666,-999,-999,1071,1239,1260,1323,1176,1239,1176,1260,-999,-999,-999,63,63,63,63,63,2020,31,-999
1258,1344,1176,1428,666,-999,-999,-999,1176,1260,1176,1239,1155,1092,1407,1008,1071,903,903,1239,1176,1260,1260,1092,2020,32,1407
1344,1176,1428,666,-999,-999,-999,1407,1176,1176,1239,1239,1092,1407,1008,1344,1176,1239,1239,1239,1239,1239,1155,1155,2020,33,1008
1176,1428,666,-999,-999,-999,1407,1008,1260,1239,1155,1092,1407,1008,1344,1155,1176,1260,1260,1176,1176,1176,1176,1176,2020,34,1258
1428,666,-999,-999,-999,1407,1008,1258,1239,1239,1176,1239,1092,1092,1155,1176,1260,1176,1176,1323,1323,1323,1323,1323,2020,35,924
666,-999,-999,-999,1407,1008,1258,924,1239,1092,1323,1008,1092,1155,1176,756,1239,1239,1239,1239,1176,1176,1176,1176,2020,36,1512
-999,-999,-999,1407,1008,1258,924,1512,1176,1344,924,1092,1008,1344,735,1176,1239,1239,1155,1239,1155,1239,1239,1239,2020,37,1071
-999,-999,1407,1008,1258,924,1512,1071,1428,924,1092,1008,1428,735,1260,924,1176,1092,1176,1092,1092,1092,1176,1176,2020,38,1239
-999,1407,1008,1258,924,1512,1071,1239,924,1092,1008,1344,735,1260,840,1239,1428,1344,1323,1239,1407,1407,1407,1260,2020,39,1090
1407,1008,1258,924,1512,1071,1239,1090,1092,1008,1260,735,1260,840,903,1176,924,924,924,1008,1092,1008,1008,1008,2020,40,1008
1008,1258,924,1512,1071,1239,1090,1008,1008,1260,819,1260,672,1323,1176,1323,1092,1092,1092,1092,1092,1092,1344,1344,2020,41,1092
1258,924,1512,1071,1239,1090,1008,1092,1260,735,1260,672,1323,1176,1323,1260,1008,1008,1008,1008,1008,1155,1155,1155,2020,42,924
924,1512,1071,1239,1090,1008,1092,924,735,1260,756,1323,1176,1323,1260,819,1260,1260,1260,1344,1428,1344,1176,1176,2020,43,1092
1512,1071,1239,1090,1008,1092,924,1092,1260,1008,1176,1239,1239,1260,819,1092,735,735,819,735,735,735,735,756,2020,44,901
1071,1239,1090,1008,1092,924,1092,901,1008,1176,1239,1260,1092,1092,924,63,1260,1260,1260,1260,1260,1260,1260,1176,2020,45,1176
1239,1090,1008,1092,924,1092,901,1176,1176,1239,1155,1176,1239,924,63,924,1008,1008,756,672,672,840,840,924,2020,46,1176
1090,1008,1092,924,1092,901,1176,1176,1155,1155,1260,1155,840,63,1092,1155,1176,1176,1176,1323,1323,1323,903,1239,2020,47,1323
1008,1092,924,1092,901,1176,1176,1323,1155,1176,1155,420,504,1092,1155,1092,1155,1239,1239,1239,1176,1176,1176,1176,2020,48,1342
1092,924,1092,901,1176,1176,1323,1342,1176,1155,168,756,1092,1155,1092,1092,1155,1155,1155,1260,1239,1323,1323,1323,2020,49,1176
