Inven Week,Date,재고수량
202114,2021-04-11,360
202115,2021-04-18,2160
202116,2021-04-25,1080
202117,2021-05-02,1080
202118,2021-05-09,720
202119,2021-05-16,12
202120,2021-05-23,-1068
202121,2021-05-30,-2556
202122,2021-06-06,300
202123,2021-06-13,300
202124,2021-06-20,84
202125,2021-06-27,9084
