WW,Date,202111,202112,202113,202114,202115,202116,202117,202118,202119,202120,202121,202122,202123,202124,202125,202126,202127,202128,202129,202130,202131,202132,202133,202134,202135,202136,202137,202138,202139,202140,202141,202142,202143,202144,202145,202146
202112,2021-03-23,15120,317520,287282,226800,347760,408240,287280,317520,241920,287280,105840,362880,241920,302400,317520,378000,408240,378000,393120,378000,347760,362880,302400,317520,347760,332640,241920,317520,287280,362880,347760,317520,287280,347760,302400,226800
202113,2021-03-30,15120,317520,272162,241920,347760,393120,302400,302400,257040,287280,347760,257040,272160,317520,347760,378000,181440,378000,393120,378000,347760,362880,302400,317520,347760,332640,241920,317520,302400,347760,347760,317520,287280,347760,317520,226800
202114,2021-04-06,15120,317520,226800,90720,347760,393120,302400,302400,257040,287280,347760,257040,317520,317520,347760,362880,211680,378000,378000,362880,347760,362880,302400,317520,347760,362880,272160,287280,257040,362880,347760,317520,287280,347760,317520,226800
202115,2021-04-13,15120,317520,226800,90720,181440,408240,302400,302400,241920,302400,332640,272160,302400,302400,347760,378000,196560,378000,378000,393120,347760,362880,302400,302400,362880,347760,287280,272160,272160,362880,347760,317520,272160,362880,302400,241920
202116,2021-04-20,15120,317520,226800,90720,392668,378295,302400,302400,241920,302400,332640,257040,332640,287280,347760,378000,211680,393120,362880,362880,362880,347760,317520,302400,362880,347760,287280,272160,272160,347760,362880,302400,287280,362880,302400,226800
202117,2021-04-27,15120,317520,226800,90720,392668,241920,30240,317520,226800,257040,302400,241920,302400,257040,257040,272160,257040,257040,257040,257040,120960,241920,241920,226800,241920,241920,241920,241920,226800,241920,241920,241920,241920,241920,241920,226800
202118,2021-05-04,15120,317520,226800,90720,392668,241920,256749,0,0,0,272160,257040,287280,272160,257040,272160,257040,257040,257040,257040,120960,241920,241920,226800,241920,241920,241920,241920,226800,241920,241920,241920,241920,241920,241920,226800
202119,2021-05-11,15120,317520,226800,90720,392668,241920,256749,0,0,0,211680,241920,302400,257040,257040,257040,272160,257040,257040,241920,120960,226800,241920,226800,241920,241920,241920,226800,226800,241920,226800,241920,226800,241920,241920,226800
202120,2021-05-18,15120,317520,226800,90720,392668,241920,256749,0,0,0,181440,241920,287280,241920,196560,226800,257040,226800,211680,196560,120960,241920,211680,166320,241920,241920,211680,181440,181440,241920,241920,196560,181440,241920,226800,181440
202121,2021-05-25,15120,317520,226800,90720,392668,241920,256749,0,0,120960,302400,0,181440,257040,226800,211680,272160,257040,196560,181440,241920,226800,90720,181440,211680,211680,211680,196560,196560,211680,196560,211680,196560,211680,211680,151200
202122,2021-06-01,15120,317520,226800,90720,392668,241920,256749,0,0,120960,302400,136080,60480,257040,241920,272160,257040,257040,196560,181440,241920,241920,75600,181440,211680,211680,211680,151200,136080,211680,211680,211680,181440,211680,211680,166320
202123,2021-06-08,15120,317520,226800,90720,392668,241920,256749,0,0,120960,302400,90711,302400,75600,257040,257040,257040,272160,196560,181440,241920,241920,90720,166320,211680,211680,211680,166320,136080,211680,196560,211680,196560,211680,196560,166320
202124,2021-06-15,15120,317520,226800,90720,392668,241920,256749,0,0,120960,302400,90711,257040,75600,257040,257040,272160,257040,196560,181440,241920,226800,90720,181440,211680,211680,211680,151200,136080,211680,211680,196560,196560,211680,211680,166320
202125,2021-06-22,15120,317520,226800,90720,392668,241920,256749,0,0,120960,302400,90711,257040,0,0,226800,257040,211680,196560,181440,241920,241920,75600,181440,211680,211680,211680,166320,136080,196560,211680,211680,196560,196560,211680,166320
202126,2021-06-29,15120,317520,226800,90720,392668,241920,256749,0,0,120960,302400,90711,257040,0,0,226800,166320,90720,196560,211680,241920,226800,226800,181440,166320,211680,196560,60480,151200,211680,196560,181440,151200,211680,211680,151200
202127,2021-07-06,15120,317520,226800,90720,392668,241920,256749,0,0,120960,302400,90711,257040,0,378,211656,166320,90720,196560,151200,120960,136080,136080,136080,136080,136080,136080,181440,181440,45360,151200,181440,181440,151200,136080,151200
202128,2021-07-13,15120,317520,226800,90720,392668,241920,256749,0,0,120960,302400,90711,257040,0,378,211656,181239,75600,136080,136080,120960,120960,136080,136080,136080,136080,136080,136080,136080,60480,136080,151200,136080,151200,136080,120960
202129,2021-07-20,15120,317520,226800,90720,392668,241920,256749,0,0,120960,302400,90711,257040,0,378,211656,181239,30240,151200,151200,136080,120960,136080,136080,151200,151200,151200,136080,151200,60480,166320,151200,151200,166320,151200,120960
