WW,Date,201935,201936,201937,201938,201939,201940,201941,201942,201943,201944,201945,201946,201947,201948,201949,201950,201951,201952,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202113,202114,202115,202116,202117,202118,202119,202120,202121,202122,202123,202124,202125,202126,202127,202128,202129,202130,202131,202132,202133,202134,202135,202136,202137,202138,202139,202140,202141,202142,202143,202144,202145,202146,202147,202148,202149,202150,202151,202152
202027,2020-06-30,0,60480,27972,52920,86886,90720,54432,82404,64638,12474,87696,120960,80892,69174,46494,87696,62748,0,29862,128520,120960,120960,105840,74844,75600,150594,120960,119826,77112,107730,115975,70686,45360,90720,117180,57456,146219,75351,105324,332262,30240,90339,211674,136080,272160,302400,302400,317670,385024,380000,408240,393120,226800,453600,483840,529200,544320,514080,559440,604800,589680,619920,635040,635040,529200,680400,665280,680400,665280,317520,0,544608,544608,544608,544608,563040,563040,563040,563040,457805,457805,457805,457805,457805,552960,552960,552960,552960,423360,423360,423360,423360,483840,483840,483840,483840,381036,381036,381036,381036,381040,476296,476296,476296,476296,595370,595370,595370,595370,381036,381036,381036,381036,381040,476296,476296,476296,476296,381036,381036,381036,381036,381040
202028,2020-07-07,0,60480,27972,52920,86886,90720,54432,82404,64638,12474,87696,120960,80892,69174,46494,87696,62748,0,29862,128520,120960,120960,105840,74844,75600,150594,120960,119826,77112,107730,115975,70686,45360,90720,117180,57456,146219,75351,105324,332262,30240,90339,211674,136080,181440,181440,347760,347910,375952,380000,408240,393120,226800,453600,483840,529200,544320,514080,544320,544320,544320,514080,483840,483840,483840,378000,544320,544320,544320,151200,0,544608,544608,544608,544608,563040,563040,563040,563040,457805,457805,457805,457805,457805,552960,552960,552960,552960,423360,423360,423360,423360,483840,483840,483840,483840,381036,381036,381036,381036,381040,476296,476296,476296,476296,595370,595370,595370,595370,381036,381036,381036,381036,381040,476296,476296,476296,476296,381036,381036,381036,381036,381040
202029,2020-07-14,0,60480,27972,52920,86886,90720,54432,82404,64638,12474,87696,120960,80892,69174,46494,87696,62748,0,29862,128520,120960,120960,105840,74844,75600,150594,120960,119826,77112,107730,115975,70686,45360,90720,117180,57456,146219,75351,105324,332262,30240,90339,211674,136080,181440,-83538,347760,347910,376452,380000,408240,393120,227550,453600,483840,529200,544320,514080,544320,544320,544320,514080,483840,483840,483840,378000,544320,544320,544320,151200,0,544608,544608,544608,544608,563040,563040,563040,563040,457805,457805,457805,457805,457805,552960,552960,552960,552960,423360,423360,423360,423360,483840,483840,483840,483840,381036,381036,381036,381036,381040,476296,476296,476296,476296,595370,595370,595370,595370,381036,381036,381036,381036,381040,476296,476296,476296,476296,381036,381036,381036,381036,381040
202030,2020-07-21,0,60480,27972,52920,86886,90720,54432,82404,64638,12474,87696,120960,80892,69174,46494,87696,62748,0,29862,128520,120960,120960,105840,74844,75600,150594,120960,119826,77112,107730,115975,70686,45360,90720,117180,57456,146219,75351,105324,332262,30240,90339,211674,136080,181440,-53298,181440,347910,397620,328592,287280,317520,318270,347760,347760,423360,423360,362880,438480,468720,468720,438480,302400,423360,334993,378000,393120,393120,272160,0,0,544608,544608,544608,544608,563040,563040,563040,563040,457805,457805,457805,457805,457805,552960,552960,552960,552960,423360,423360,423360,423360,483840,483840,483840,483840,381036,381036,381036,381036,381040,476296,476296,476296,476296,595370,595370,595370,595370,381036,381036,381036,381036,381040,476296,476296,476296,476296,381036,381036,381036,381036,381040
202031,2020-07-28,0,60480,27972,52920,86886,90720,54432,82404,64638,12474,87696,120960,80892,69174,46494,87696,62748,0,29862,128520,120960,120960,105840,74844,75600,150594,120960,119826,77112,107730,115975,70686,45360,90720,117180,57456,146219,75351,105324,332262,30240,90339,211674,136080,181440,-53298,257040,241920,397620,328592,287280,317520,318270,347760,347760,423360,423360,362880,438480,468720,468720,438480,302400,423360,334993,378000,393120,393120,272160,0,0,544608,544608,544608,544608,563040,563040,563040,563040,457805,457805,457805,457805,457805,552960,552960,552960,552960,423360,423360,423360,423360,483840,483840,483840,483840,381036,381036,381036,381036,381040,476296,476296,476296,476296,595370,595370,595370,595370,381036,381036,381036,381036,381040,476296,476296,476296,476296,381036,381036,381036,381036,381040
202032,2020-08-04,0,60480,27972,52920,86886,90720,54432,82404,64638,12474,87696,120960,80892,69174,46494,87696,62748,0,29862,128520,120960,120960,105840,74844,75600,150594,120960,119826,77112,107730,115975,70686,45360,90720,117180,57456,146219,75351,105324,332262,30240,90339,211674,136080,181440,-53298,257040,241481,90720,349760,287280,311472,318270,332640,347760,423360,423360,362880,438480,468720,468720,438480,302400,423360,334993,378000,393120,393120,272160,0,0,295218,295218,295218,295218,403326,403326,403326,403326,414288,414288,414288,414288,414288,404271,404271,404271,404271,400113,400113,400113,400113,511434,511434,511434,511434,381036,381036,381036,381036,381040,476296,476296,476296,476296,595370,595370,595370,595370,381036,381036,381036,381036,381040,476296,476296,476296,476296,381036,381036,381036,381036,381040
202033,2020-08-11,0,60480,27972,52920,86886,90720,54432,82404,64638,12474,87696,120960,80892,69174,46494,87696,62748,0,29862,128520,120960,120960,105840,74844,75600,150594,120960,119826,77112,107730,115975,70686,45360,90720,117180,57456,146219,75351,105324,332262,30240,90339,211674,136080,181440,-53298,257040,241481,90720,241920,226800,235872,197310,272160,257040,272160,287280,317520,317520,332640,378000,347760,241920,226800,199849,257040,317520,287280,272160,0,0,295218,295218,295218,295218,403326,403326,403326,403326,414288,414288,414288,414288,414288,404271,404271,404271,404271,400113,400113,400113,400113,511434,511434,511434,511434,381036,381036,381036,381036,381040,476296,476296,476296,476296,595370,595370,595370,595370,381036,381036,381036,381036,381040,476296,476296,476296,476296,381036,381036,381036,381036,381040
202034,2020-08-18,0,60480,27972,52920,86886,90720,54432,82404,64638,12474,87696,120960,80892,69174,46494,87696,62748,0,29862,128520,120960,120960,105840,74844,75600,150594,120960,119826,77112,107730,115975,70686,45360,90720,117180,57456,146219,75351,105324,332262,30240,90339,211674,136080,181440,-53298,257040,241481,90720,241920,151200,235872,197310,272160,257040,272160,287280,317520,317520,332640,378000,347760,241920,226800,199849,257040,317520,287280,272160,0,0,295218,295218,295218,295218,403326,403326,403326,403326,414288,414288,414288,414288,414288,404271,404271,404271,404271,400113,400113,400113,400113,409147,409147,409147,409147,790183,792678,792678,792678,792682,476296,476296,476296,476296,595370,595370,595370,595370,381036,381036,381036,381036,381040,476296,476296,476296,476296,381036,381036,381036,381036,381040
202035,2020-08-25,0,60480,27972,52920,86886,90720,54432,82404,64638,12474,87696,120960,80892,69174,46494,87696,62748,0,29862,128520,120960,120960,105840,74844,75600,150594,120960,119826,77112,107730,115975,70686,45360,90720,117180,57456,146219,75351,105324,332262,30240,90339,211674,136080,181440,-53298,257040,241481,90720,241920,226800,167832,151950,257040,257040,272160,287280,317520,317520,332640,378000,347760,241920,226800,199849,257040,317520,287280,272160,0,0,295218,295218,295218,295218,403326,403326,403326,403326,414288,414288,414288,414288,414288,404271,404271,404271,404271,400113,400113,400113,400113,409147,409147,409147,409147,790183,792678,792678,792678,792682,476296,476296,476296,476296,595370,595370,595370,595370,381036,381036,381036,381036,381040,476296,476296,476296,476296,381036,381036,381036,381036,381040
