WW,Date,tWW,QTY
201846,2018-11-12,201902,138800
201846,2018-11-12,201905,104100
201846,2018-11-12,201906,138800
201846,2018-11-12,201910,242900
201846,2018-11-12,201911,34700
201846,2018-11-12,201914,138800
201846,2018-11-12,201915,242900
201846,2018-11-12,201920,242900
201846,2018-11-12,201921,242900
201846,2018-11-12,201923,242900
201846,2018-11-12,201924,208200
201846,2018-11-12,201925,69400
201846,2018-11-12,201927,242900
201846,2018-11-12,201928,242900
201846,2018-11-12,201929,208200
201846,2018-11-12,201932,208200
201846,2018-11-12,201933,242900
201846,2018-11-12,201934,138800
201846,2018-11-12,201935,69400
201846,2018-11-12,201936,416400
201846,2018-11-12,201937,381700
201846,2018-11-12,201938,242900
201846,2018-11-12,201939,242900
201846,2018-11-12,201940,208200
201846,2018-11-12,201941,485800
201846,2018-11-12,201942,485800
201846,2018-11-12,201943,451100
201846,2018-11-12,201944,208200
201846,2018-11-12,201945,451100
201847,2018-11-19,201849,235900
201847,2018-11-19,201850,33700
201847,2018-11-19,201901,69400
201847,2018-11-19,201902,138800
201847,2018-11-19,201905,104100
201847,2018-11-19,201906,138800
201847,2018-11-19,201910,242900
201847,2018-11-19,201911,34700
201847,2018-11-19,201914,138800
201847,2018-11-19,201915,242900
201847,2018-11-19,201920,242900
201847,2018-11-19,201921,242900
201847,2018-11-19,201923,242900
201847,2018-11-19,201924,208200
201847,2018-11-19,201925,69400
201847,2018-11-19,201927,242900
201847,2018-11-19,201928,242900
201847,2018-11-19,201929,208200
201847,2018-11-19,201932,208200
201847,2018-11-19,201933,242900
201847,2018-11-19,201934,138800
201847,2018-11-19,201935,69400
201847,2018-11-19,201936,416400
201847,2018-11-19,201937,381700
201847,2018-11-19,201938,242900
201847,2018-11-19,201939,242900
201847,2018-11-19,201940,208200
201847,2018-11-19,201941,485800
201847,2018-11-19,201942,485800
201847,2018-11-19,201943,451100
201847,2018-11-19,201944,208200
201847,2018-11-19,201945,451100
201847,2018-11-19,201946,485800
201848,2018-11-26,201849,235900
201848,2018-11-26,201850,33700
201848,2018-11-26,201901,69400
201848,2018-11-26,201902,138800
201848,2018-11-26,201905,104100
201848,2018-11-26,201906,138800
201848,2018-11-26,201910,225550
201848,2018-11-26,201911,52050
201848,2018-11-26,201914,121450
201848,2018-11-26,201915,242900
201848,2018-11-26,201916,17350
201848,2018-11-26,201919,17350
201848,2018-11-26,201920,225550
201848,2018-11-26,201921,242900
201848,2018-11-26,201923,242900
201848,2018-11-26,201924,225550
201848,2018-11-26,201925,52050
201848,2018-11-26,201927,242900
201848,2018-11-26,201928,225550
201848,2018-11-26,201929,225550
201848,2018-11-26,201932,208200
201848,2018-11-26,201933,242900
201848,2018-11-26,201934,138800
201848,2018-11-26,201935,69400
201848,2018-11-26,201936,451100
201848,2018-11-26,201937,364350
201848,2018-11-26,201938,225550
201848,2018-11-26,201939,242900
201848,2018-11-26,201940,242900
201848,2018-11-26,201941,485800
201848,2018-11-26,201942,451100
201848,2018-11-26,201943,451100
201848,2018-11-26,201944,225550
201848,2018-11-26,201945,468450
201848,2018-11-26,201946,451100
201848,2018-11-26,201947,485800
201848,2018-11-26,201948,905394
201849,2018-12-03,201849,126210
201849,2018-12-03,201850,134800
201849,2018-12-03,201901,69400
201849,2018-12-03,201902,138800
201849,2018-12-03,201905,104100
201849,2018-12-03,201906,138800
201849,2018-12-03,201910,225550
201849,2018-12-03,201911,52050
201849,2018-12-03,201914,121450
201849,2018-12-03,201915,242900
201849,2018-12-03,201916,17350
201849,2018-12-03,201919,17350
201849,2018-12-03,201920,225550
201849,2018-12-03,201921,242900
201849,2018-12-03,201923,242900
201849,2018-12-03,201924,225550
201849,2018-12-03,201925,52050
201849,2018-12-03,201927,242900
201849,2018-12-03,201928,225550
201849,2018-12-03,201929,225550
201849,2018-12-03,201932,208200
201849,2018-12-03,201933,242900
201849,2018-12-03,201934,138800
201849,2018-12-03,201935,69400
201849,2018-12-03,201936,451100
201849,2018-12-03,201937,364350
201849,2018-12-03,201938,225550
201849,2018-12-03,201939,242900
201849,2018-12-03,201940,242900
201849,2018-12-03,201941,485800
201849,2018-12-03,201942,451100
201849,2018-12-03,201943,451100
201849,2018-12-03,201944,225550
201849,2018-12-03,201945,468450
201849,2018-12-03,201946,451100
201849,2018-12-03,201947,485800
201849,2018-12-03,201948,416400
201850,2018-12-10,201850,144945
201850,2018-12-10,201901,87800
201850,2018-12-10,201902,120400
201850,2018-12-10,201905,104100
201850,2018-12-10,201906,138800
201850,2018-12-10,201910,225550
201850,2018-12-10,201911,52050
201850,2018-12-10,201914,121450
201850,2018-12-10,201915,242900
201850,2018-12-10,201916,17350
201850,2018-12-10,201919,17350
201850,2018-12-10,201920,225550
201850,2018-12-10,201921,242900
201850,2018-12-10,201923,242900
201850,2018-12-10,201924,225550
201850,2018-12-10,201925,52050
201850,2018-12-10,201927,242900
201850,2018-12-10,201928,225550
201850,2018-12-10,201929,225550
201850,2018-12-10,201932,208200
201850,2018-12-10,201933,242900
201850,2018-12-10,201934,138800
