Plan Date,Date,QTY_x,QTY_y
201847,201901,69400.0,6
201847,201902,138800.0,7
201847,201905,104100.0,3
201847,201906,138800.0,7
201847,201910,242900.0,7
201847,201911,34700.0,7
201847,201914,138800.0,7
201847,201915,242900.0,7
201847,201920,242900.0,7
201847,201921,242900.0,7
201847,201923,242900.0,7
201847,201924,208200.0,7
201847,201925,69400.0,7
201847,201927,242900.0,7
201847,201928,242900.0,7
201847,201929,208200.0,7
201847,201932,208200.0,7
201847,201933,242900.0,7
201847,201934,138800.0,7
201847,201935,69400.0,2
201847,201936,416400.0,14
201847,201937,381700.0,14
201847,201938,242900.0,7
201847,201939,242900.0,7
201847,201940,208200.0,7
201847,201941,485800.0,14
201847,201942,485800.0,14
201847,201943,451100.0,14
201847,201944,208200.0,7
201847,201945,451100.0,14
201847,201946,485800.0,14
201848,201849,235900.0,7
201848,201850,33700.0,1
201848,201901,69400.0,2
201848,201902,138800.0,7
201848,201905,104100.0,3
201848,201906,138800.0,7
201848,201910,225550.0,7
201848,201911,52050.0,7
201848,201914,121450.0,7
201848,201915,242900.0,7
201848,201916,17350.0,7
201848,201919,17350.0,7
201848,201920,225550.0,7
201848,201921,242900.0,7
201848,201923,242900.0,7
201848,201924,225550.0,7
201848,201925,52050.0,7
201848,201927,242900.0,7
201848,201928,225550.0,7
201848,201929,225550.0,7
201848,201932,208200.0,7
201848,201933,242900.0,7
201848,201934,138800.0,7
201848,201935,69400.0,2
201848,201936,451100.0,14
201848,201937,364350.0,14
201848,201938,225550.0,7
201848,201939,242900.0,7
201848,201940,242900.0,13
201848,201941,485800.0,14
201848,201942,451100.0,14
201848,201943,451100.0,14
201848,201944,225550.0,7
201848,201945,468450.0,14
201848,201946,451100.0,14
201848,201947,485800.0,14
201848,201948,905394.571715145,1
201849,201849,126210.0,4
201849,201850,134800.0,4
201849,201901,69400.0,2
201849,201902,138800.0,4
201849,201905,104100.0,3
201849,201906,138800.0,7
201849,201910,225550.0,7
201849,201911,52050.0,7
201849,201914,121450.0,7
201849,201915,242900.0,7
201849,201916,17350.0,7
201849,201919,17350.0,7
201849,201920,225550.0,7
201849,201921,242900.0,7
201849,201923,242900.0,7
201849,201924,225550.0,7
201849,201925,52050.0,7
201849,201927,242900.0,7
201849,201928,225550.0,7
201849,201929,225550.0,7
201849,201932,208200.0,7
201849,201933,242900.0,7
201849,201934,138800.0,7
201849,201935,69400.0,2
201849,201936,451100.0,14
201849,201937,364350.0,14
201849,201938,225550.0,7
201849,201939,242900.0,7
201849,201940,242900.0,13
201849,201941,485800.0,14
201849,201942,451100.0,14
201849,201943,451100.0,14
201849,201944,225550.0,7
201849,201945,468450.0,14
201849,201946,451100.0,14
201849,201947,485800.0,14
201849,201948,416400.0,12
201850,201850,144945.0,5
201850,201901,87800.0,3
201850,201902,120400.0,4
201850,201905,104100.0,3
201850,201906,138800.0,7
201850,201910,225550.0,7
201850,201911,52050.0,7
201850,201914,121450.0,7
201850,201915,242900.0,7
