Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,2020-09,2020-09,2020-09,2020-09,2020-09,2020-10,2020-10,2020-10,2020-10,2020-10,2020-11,2020-11,2020-11,2020-11,2020-11,2020-11,2020-12,2020-12,2020-12,2020-12,2020-12,2021-01,2021-01,2021-01,2021-01,2021-01,2021-02,2021-02,2021-02,2021-02,2021-03,2021-03,2021-03,2021-03,2021-03,2021-04
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,W36,W37,W38,W39,W40,W40,W41,W42,W43,W44,W44,W45,W46,W47,W48,W49,W49,W50,W51,W52,W53,W53,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W13
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201201_V001,MF_W_20201201_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",168,987,"1,176","1,155",168,504,252,"1,092","1,155","1,092","1,092","1,092","1,008","1,323","1,176","1,092","1,176","1,239","1,176",588,483
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201208_V001,MF_W_20201208_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,"1,407","1,155",168,420,336,924,"1,176","1,176","1,092","1,239","1,008","1,176","1,176","1,092","1,176","1,176","1,239",588,420
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201215_V001,MF_W_20201215_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,"1,155",168,420,336,924,"1,092","1,176","1,176","1,155","1,008","1,176","1,176","1,092","1,176","1,176","1,239",756,504
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201222_V001,MF_W_20201222_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,840,840,,"1,008","1,092",924,"1,176","1,239","1,008","1,176","1,176","1,092","1,260","1,092","1,239",756,504
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201229_V001,MF_W_20201229_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,840,,"1,008","1,092",924,"1,176","1,239","1,008","1,176","1,176","1,092","1,260","1,092","1,239",756,504
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210105_V001,MF_W_20210105_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,"1,008","1,092",924,"1,176","1,239","1,008","1,176","1,176","1,092","1,260","1,092","1,239",756,504
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210112_V001,MF_W_20210112_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,344","1,008","1,176","1,239","1,092","1,176","1,176","1,176","1,176","1,092","1,239",756,504
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210119_V001,MF_W_20210119_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,246","1,260","1,176","1,155","1,260","1,008","1,092","1,260","1,176","1,155","1,176",756,567
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210126_V001,MF_W_20210126_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,414","1,092","1,092","1,239","1,008","1,176","1,092","1,344","1,176","1,155","1,344",756,399
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210202_V001,MF_W_20210202_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,414","1,092","1,176","1,155","1,008","1,176","1,092","1,260","1,176","1,239","1,260",756,483
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210209_V001,MF_W_20210209_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,414","1,092","1,176","1,155","1,008","1,176","1,092","1,260","1,176","1,176","1,260",756,420
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210216_V001,MF_W_20210216_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,414","1,092","1,176","1,155",924,"1,176","1,092","1,176","1,176","1,092","1,260",756,483
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210223_V001,MF_W_20210223_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,414","1,092","1,176","1,155",924,"1,173",840,"1,092","1,260","1,176","1,260",756,651
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210302_V001,MF_W_20210302_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,414","1,092","1,176","1,155",924,"1,173",840,"1,092","1,260","1,176","1,260",756,651
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210309_V001,MF_W_20210309_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,414","1,092","1,176","1,155",924,"1,173",840,"1,008","1,260","1,176","1,176",672,567
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210316_V001,MF_W_20210316_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,414","1,092","1,176","1,155",924,"1,173",840,"1,008","1,176","1,428","1,176",672,567
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210323_V001,MF_W_20210323_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,414","1,092","1,176","1,155",924,"1,173",840,"1,008","1,176","1,155","1,008",672,567
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20210330_V001,MF_W_20210330_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",901,,"1,176","1,176","1,323","1,342",336,840,819,903,83,"1,764",,756,"1,414","1,092","1,176","1,155",924,"1,173",840,"1,092","1,260","1,155","1,008",756,504
