WW,Date,tWW
201847,2018-11-19,201921
201847,2018-11-19,201923
201847,2018-11-19,201924
201847,2018-11-19,201925
201847,2018-11-19,201927
201847,2018-11-19,201928
201847,2018-11-19,201929
201847,2018-11-19,201932
201847,2018-11-19,201933
201847,2018-11-19,201934
201847,2018-11-19,201935
201847,2018-11-19,201936
201847,2018-11-19,201937
201847,2018-11-19,201938
201847,2018-11-19,201939
201847,2018-11-19,201940
201847,2018-11-19,201941
201847,2018-11-19,201942
201847,2018-11-19,201943
201847,2018-11-19,201944
201847,2018-11-19,201945
201847,2018-11-19,201946
201848,2018-11-26,201849
201848,2018-11-26,201850
201848,2018-11-26,201901
201848,2018-11-26,201902
201848,2018-11-26,201905
201848,2018-11-26,201906
201848,2018-11-26,201910
201848,2018-11-26,201911
201848,2018-11-26,201914
201848,2018-11-26,201915
201848,2018-11-26,201916
201848,2018-11-26,201919
201848,2018-11-26,201920
201848,2018-11-26,201921
201848,2018-11-26,201923
201848,2018-11-26,201924
201848,2018-11-26,201925
201848,2018-11-26,201927
201848,2018-11-26,201928
201848,2018-11-26,201929
201848,2018-11-26,201932
201848,2018-11-26,201933
201848,2018-11-26,201934
201848,2018-11-26,201935
201848,2018-11-26,201936
201848,2018-11-26,201937
201848,2018-11-26,201938
201848,2018-11-26,201939
201848,2018-11-26,201940
201848,2018-11-26,201941
201848,2018-11-26,201942
201848,2018-11-26,201943
201848,2018-11-26,201944
201848,2018-11-26,201945
201848,2018-11-26,201946
201848,2018-11-26,201947
201848,2018-11-26,201948
201849,2018-12-03,201849
201849,2018-12-03,201850
201849,2018-12-03,201901
201849,2018-12-03,201902
201849,2018-12-03,201905
201849,2018-12-03,201906
201849,2018-12-03,201910
201849,2018-12-03,201911
201849,2018-12-03,201914
201849,2018-12-03,201915
201849,2018-12-03,201916
201849,2018-12-03,201919
201849,2018-12-03,201920
201849,2018-12-03,201921
201849,2018-12-03,201923
201849,2018-12-03,201924
201849,2018-12-03,201925
201849,2018-12-03,201927
201849,2018-12-03,201928
201849,2018-12-03,201929
201849,2018-12-03,201932
201849,2018-12-03,201933
201849,2018-12-03,201934
201849,2018-12-03,201935
201849,2018-12-03,201936
201849,2018-12-03,201937
201849,2018-12-03,201938
201849,2018-12-03,201939
201849,2018-12-03,201940
201849,2018-12-03,201941
201849,2018-12-03,201942
201849,2018-12-03,201943
201849,2018-12-03,201944
201849,2018-12-03,201945
201849,2018-12-03,201946
201849,2018-12-03,201947
201849,2018-12-03,201948
201850,2018-12-10,201850
201850,2018-12-10,201901
201850,2018-12-10,201902
201850,2018-12-10,201905
201850,2018-12-10,201906
201850,2018-12-10,201910
201850,2018-12-10,201911
201850,2018-12-10,201914
201850,2018-12-10,201915
201850,2018-12-10,201916
201850,2018-12-10,201919
201850,2018-12-10,201920
201850,2018-12-10,201921
201850,2018-12-10,201923
201850,2018-12-10,201924
201850,2018-12-10,201925
201850,2018-12-10,201927
201850,2018-12-10,201928
201850,2018-12-10,201929
201850,2018-12-10,201932
201850,2018-12-10,201933
201850,2018-12-10,201934
201850,2018-12-10,201935
201850,2018-12-10,201936
201850,2018-12-10,201937
201850,2018-12-10,201938
201850,2018-12-10,201939
201850,2018-12-10,201940
201850,2018-12-10,201941
201850,2018-12-10,201942
201850,2018-12-10,201943
201850,2018-12-10,201944
201850,2018-12-10,201945
201850,2018-12-10,201946
201850,2018-12-10,201947
201850,2018-12-10,201948
201850,2018-12-10,201949
201851,2018-12-17,201851
201851,2018-12-17,201901
201851,2018-12-17,201902
201851,2018-12-17,201905
201851,2018-12-17,201906
201851,2018-12-17,201910
201851,2018-12-17,201911
201851,2018-12-17,201914
201851,2018-12-17,201915
201851,2018-12-17,201916
201851,2018-12-17,201919
201851,2018-12-17,201920
201851,2018-12-17,201921
201851,2018-12-17,201923
201851,2018-12-17,201924
201851,2018-12-17,201925
201851,2018-12-17,201927
201851,2018-12-17,201928
201851,2018-12-17,201929
201851,2018-12-17,201932
201851,2018-12-17,201933
201851,2018-12-17,201934
201851,2018-12-17,201935
201851,2018-12-17,201936
201851,2018-12-17,201937
201851,2018-12-17,201938
201851,2018-12-17,201939
201851,2018-12-17,201940
201851,2018-12-17,201941
201851,2018-12-17,201942
201851,2018-12-17,201943
201851,2018-12-17,201944
201851,2018-12-17,201945
201851,2018-12-17,201946
201851,2018-12-17,201947
201851,2018-12-17,201948
201851,2018-12-17,201949
201851,2018-12-17,201950
201852,2018-12-24,201852
201852,2018-12-24,201901
201852,2018-12-24,201902
201852,2018-12-24,201905
201852,2018-12-24,201906
201852,2018-12-24,201914
201852,2018-12-24,201917
201852,2018-12-24,201918
201852,2018-12-24,201919
201852,2018-12-24,201920
201852,2018-12-24,201921
201852,2018-12-24,201922
201852,2018-12-24,201923
201852,2018-12-24,201931
201852,2018-12-24,201932
201852,2018-12-24,201934
201852,2018-12-24,201935
201852,2018-12-24,201936
201852,2018-12-24,201937
201852,2018-12-24,201938
201852,2018-12-24,201939
201852,2018-12-24,201940
201852,2018-12-24,201941
201852,2018-12-24,201942
201852,2018-12-24,201943
201852,2018-12-24,201944
201852,2018-12-24,201945
201852,2018-12-24,201946
201852,2018-12-24,201947
201852,2018-12-24,201948
201852,2018-12-24,201949
201852,2018-12-24,201950
201852,2018-12-24,201951
201852,2018-12-24,201952
201901,2018-12-31,201901
201901,2018-12-31,201902
201901,2018-12-31,201905
201901,2018-12-31,201906
201901,2018-12-31,201910
201901,2018-12-31,201911
201901,2018-12-31,201914
201901,2018-12-31,201915
201901,2018-12-31,201917
201901,2018-12-31,201918
201901,2018-12-31,201919
201901,2018-12-31,201920
201901,2018-12-31,201921
201901,2018-12-31,201922
201901,2018-12-31,201923
201901,2018-12-31,201932
201901,2018-12-31,201933
201901,2018-12-31,201935
201901,2018-12-31,201936
201901,2018-12-31,201937
201901,2018-12-31,201938
201901,2018-12-31,201939
201901,2018-12-31,201940
201901,2018-12-31,201941
201901,2018-12-31,201942
201901,2018-12-31,201943
201901,2018-12-31,201944
201901,2018-12-31,201945
201901,2018-12-31,201946
201901,2018-12-31,201947
201901,2018-12-31,201948
201901,2018-12-31,201949
201901,2018-12-31,201950
201901,2018-12-31,201951
201901,2018-12-31,201952
201901,2018-12-31,202001
201902,2019-01-07,201902
201902,2019-01-07,201905
201902,2019-01-07,201906
201902,2019-01-07,201910
201902,2019-01-07,201911
201902,2019-01-07,201914
201902,2019-01-07,201915
201902,2019-01-07,201916
201902,2019-01-07,201919
201902,2019-01-07,201920
201902,2019-01-07,201921
201902,2019-01-07,201923
201902,2019-01-07,201924
201902,2019-01-07,201925
201902,2019-01-07,201927
201902,2019-01-07,201928
201902,2019-01-07,201929
201902,2019-01-07,201932
201902,2019-01-07,201933
201902,2019-01-07,201934
201902,2019-01-07,201935
201902,2019-01-07,201936
201902,2019-01-07,201937
201902,2019-01-07,201938
201902,2019-01-07,201939
201902,2019-01-07,201940
201902,2019-01-07,201941
201902,2019-01-07,201942
201902,2019-01-07,201943
201902,2019-01-07,201944
201902,2019-01-07,201945
201902,2019-01-07,201946
201902,2019-01-07,201947
201902,2019-01-07,201948
201902,2019-01-07,201949
201902,2019-01-07,201950
201902,2019-01-07,201951
201902,2019-01-07,201952
201902,2019-01-07,202001
201902,2019-01-07,202002
201903,2019-01-14,201905
201903,2019-01-14,201906
201903,2019-01-14,201910
201903,2019-01-14,201911
201903,2019-01-14,201914
201903,2019-01-14,201915
201903,2019-01-14,201916
201903,2019-01-14,201919
201903,2019-01-14,201920
201903,2019-01-14,201921
201903,2019-01-14,201923
201903,2019-01-14,201924
201903,2019-01-14,201925
201903,2019-01-14,201927
201903,2019-01-14,201928
201903,2019-01-14,201929
201903,2019-01-14,201932
201903,2019-01-14,201933
201903,2019-01-14,201934
201903,2019-01-14,201935
201903,2019-01-14,201936
201903,2019-01-14,201937
201903,2019-01-14,201938
201903,2019-01-14,201939
201903,2019-01-14,201940
201903,2019-01-14,201941
201903,2019-01-14,201942
201903,2019-01-14,201943
201903,2019-01-14,201944
201903,2019-01-14,201945
201903,2019-01-14,201946
201903,2019-01-14,201947
201903,2019-01-14,201948
201903,2019-01-14,201949
201903,2019-01-14,201950
201903,2019-01-14,201951
201903,2019-01-14,201952
201903,2019-01-14,202001
201903,2019-01-14,202002
201903,2019-01-14,202003
201904,2019-01-21,201906
201904,2019-01-21,201910
201904,2019-01-21,201911
201904,2019-01-21,201914
201904,2019-01-21,201915
201904,2019-01-21,201916
201904,2019-01-21,201919
201904,2019-01-21,201920
201904,2019-01-21,201921
201904,2019-01-21,201923
201904,2019-01-21,201924
201904,2019-01-21,201925
201904,2019-01-21,201927
201904,2019-01-21,201928
201904,2019-01-21,201929
201904,2019-01-21,201932
201904,2019-01-21,201933
201904,2019-01-21,201934
201904,2019-01-21,201935
201904,2019-01-21,201936
201904,2019-01-21,201937
201904,2019-01-21,201938
201904,2019-01-21,201939
201904,2019-01-21,201940
201904,2019-01-21,201941
201904,2019-01-21,201942
201904,2019-01-21,201943
201904,2019-01-21,201944
201904,2019-01-21,201945
201904,2019-01-21,201946
201904,2019-01-21,201947
201904,2019-01-21,201948
201904,2019-01-21,201949
201904,2019-01-21,201950
201904,2019-01-21,201951
201904,2019-01-21,201952
201904,2019-01-21,202001
201904,2019-01-21,202002
201904,2019-01-21,202003
201904,2019-01-21,202004
201905,2019-01-28,201909
201905,2019-01-28,201910
201905,2019-01-28,201912
201905,2019-01-28,201914
201905,2019-01-28,201915
201905,2019-01-28,201916
201905,2019-01-28,201919
201905,2019-01-28,201920
201905,2019-01-28,201921
201905,2019-01-28,201923
201905,2019-01-28,201924
201905,2019-01-28,201925
201905,2019-01-28,201927
201905,2019-01-28,201928
201905,2019-01-28,201929
201905,2019-01-28,201932
201905,2019-01-28,201933
201905,2019-01-28,201934
201905,2019-01-28,201935
201905,2019-01-28,201936
201905,2019-01-28,201937
201905,2019-01-28,201938
201905,2019-01-28,201939
201905,2019-01-28,201940
201905,2019-01-28,201941
201905,2019-01-28,201942
201905,2019-01-28,201943
201905,2019-01-28,201944
201905,2019-01-28,201945
201905,2019-01-28,201946
201905,2019-01-28,201947
201905,2019-01-28,201948
201905,2019-01-28,201949
201905,2019-01-28,201950
201905,2019-01-28,201951
201905,2019-01-28,201952
201905,2019-01-28,202001
201905,2019-01-28,202002
201905,2019-01-28,202003
201905,2019-01-28,202004
201905,2019-01-28,202005
201906,2019-02-04,201909
201906,2019-02-04,201910
201906,2019-02-04,201912
201906,2019-02-04,201918
201906,2019-02-04,201919
201906,2019-02-04,201920
201906,2019-02-04,201921
201906,2019-02-04,202001
201906,2019-02-04,202002
201906,2019-02-04,202003
201906,2019-02-04,202004
201906,2019-02-04,202005
201906,2019-02-04,202006
201907,2019-02-11,201909
201907,2019-02-11,201910
201907,2019-02-11,201912
201907,2019-02-11,201914
201907,2019-02-11,201915
201907,2019-02-11,201916
201907,2019-02-11,201919
201907,2019-02-11,201920
201907,2019-02-11,201921
201907,2019-02-11,201923
201907,2019-02-11,201924
201907,2019-02-11,201925
201907,2019-02-11,201927
201907,2019-02-11,201928
201907,2019-02-11,201929
201907,2019-02-11,201932
201907,2019-02-11,201933
201907,2019-02-11,201934
201907,2019-02-11,201935
201907,2019-02-11,201936
201907,2019-02-11,201937
201907,2019-02-11,201938
201907,2019-02-11,201939
201907,2019-02-11,201940
201907,2019-02-11,201941
201907,2019-02-11,201942
201907,2019-02-11,201943
201907,2019-02-11,201944
201907,2019-02-11,201945
201907,2019-02-11,201946
201907,2019-02-11,201947
201907,2019-02-11,201948
201907,2019-02-11,201949
201907,2019-02-11,201950
201907,2019-02-11,201951
201907,2019-02-11,201952
201907,2019-02-11,202001
201907,2019-02-11,202002
201907,2019-02-11,202003
201907,2019-02-11,202004
201907,2019-02-11,202005
201907,2019-02-11,202006
201907,2019-02-11,202007
201908,2019-02-18,201909
201908,2019-02-18,201910
201908,2019-02-18,201912
201908,2019-02-18,201914
201908,2019-02-18,201915
201908,2019-02-18,201916
201908,2019-02-18,201919
201908,2019-02-18,201920
201908,2019-02-18,201921
201908,2019-02-18,201923
201908,2019-02-18,201924
201908,2019-02-18,201925
201908,2019-02-18,201927
201908,2019-02-18,201928
201908,2019-02-18,201929
201908,2019-02-18,201932
201908,2019-02-18,201933
201908,2019-02-18,201934
201908,2019-02-18,201935
201908,2019-02-18,201936
201908,2019-02-18,201937
201908,2019-02-18,201938
201908,2019-02-18,201939
201908,2019-02-18,201940
201908,2019-02-18,201941
201908,2019-02-18,201942
201908,2019-02-18,201943
201908,2019-02-18,201944
201908,2019-02-18,201945
201908,2019-02-18,201946
201908,2019-02-18,201947
201908,2019-02-18,201948
201908,2019-02-18,201949
201908,2019-02-18,201950
201908,2019-02-18,201951
201908,2019-02-18,201952
201908,2019-02-18,202001
201908,2019-02-18,202002
201908,2019-02-18,202003
201908,2019-02-18,202004
201908,2019-02-18,202005
201908,2019-02-18,202006
201908,2019-02-18,202007
201908,2019-02-18,202008
201909,2019-02-25,201909
201909,2019-02-25,201910
201909,2019-02-25,201912
201909,2019-02-25,201914
201909,2019-02-25,201916
201909,2019-02-25,201917
201909,2019-02-25,201918
201909,2019-02-25,201919
201909,2019-02-25,201920
201909,2019-02-25,201921
201909,2019-02-25,201923
201909,2019-02-25,201924
201909,2019-02-25,201925
201909,2019-02-25,201927
201909,2019-02-25,201928
201909,2019-02-25,201929
201909,2019-02-25,201932
201909,2019-02-25,201933
201909,2019-02-25,201934
201909,2019-02-25,201935
201909,2019-02-25,201936
201909,2019-02-25,201937
201909,2019-02-25,201938
201909,2019-02-25,201939
201909,2019-02-25,201940
201909,2019-02-25,201941
201909,2019-02-25,201942
201909,2019-02-25,201943
201909,2019-02-25,201944
201909,2019-02-25,201945
201909,2019-02-25,201946
201909,2019-02-25,201947
201909,2019-02-25,201948
201909,2019-02-25,201949
201909,2019-02-25,201950
201909,2019-02-25,201951
201909,2019-02-25,201952
201909,2019-02-25,202001
201909,2019-02-25,202002
