WW,Date,202109,202110,202111,202112,202113,202114,202115,202116,202117,202118,202119,202120,202121,202122,202123,202124,202125,202126,202127,202128,202129,202130,202131,202132,202133,202134,202135,202136,202137,202138,202139,202140,202141,202142,202143,202144,202145,202146,202147,202148,202149,202150,202151,202152,202201,202202,202203,202204,202205,202206,202207,202208,202209,202252
202109,2021-03-02,332640,332640,393120,408240,226800,287280,423360,423360,317520,317520,241920,241920,75600,378000,302400,332640,317520,378000,423360,393120,378000,362880,362880,347760,302400,287280,362880,347760,241920,287280,272160,347760,362880,287280,272160,287280,302400,211680,287280,287280,287280,287280,196560,0,0,0,0,0,0,0,0,0,0,0
202110,2021-03-09,272160,347760,393120,378000,287280,226800,347760,393120,302400,302400,257040,287280,105840,362880,241920,302400,317520,378000,408240,378000,378000,393120,332640,317520,332640,317520,362880,347760,241920,287280,287280,347760,317520,332640,287280,332640,302400,241920,302400,332640,287280,302400,226800,0,0,0,0,0,0,0,0,0,0,0
202111,2021-03-16,287280,302400,347760,378000,287280,226800,347760,408240,287280,317520,241920,287280,105840,362880,241920,302400,317520,378000,408240,378000,393120,378000,347760,362880,302400,317520,347760,332640,241920,317520,287280,362880,347760,317520,287280,347760,302400,226800,302400,362880,287280,302400,226800,0,0,0,0,0,0,0,0,0,0,0
202112,2021-03-23,287280,302400,302393,317520,287282,226800,347760,408240,287280,317520,241920,287280,105840,362880,241920,302400,317520,378000,408240,378000,393120,378000,347760,362880,302400,317520,347760,332640,241920,317520,287280,362880,347760,317520,287280,347760,302400,226800,302400,362880,287280,302400,226800,0,0,0,0,0,0,0,0,0,0,0
202113,2021-03-30,287280,302400,302393,317520,272162,241920,347760,393120,302400,302400,257040,287280,347760,257040,272160,317520,347760,378000,181440,378000,393120,378000,347760,362880,302400,317520,347760,332640,241920,317520,302400,347760,347760,317520,287280,347760,317520,226800,317520,347760,287280,302400,226800,0,317520,317520,317520,317520,317520,317520,317520,317520,0,0
202114,2021-04-06,287280,302400,302393,317520,226800,90720,347760,393120,302400,302400,257040,287280,347760,257040,317520,317520,347760,362880,211680,378000,378000,362880,347760,362880,302400,317520,347760,362880,272160,287280,257040,362880,347760,317520,287280,347760,317520,226800,317520,347760,287280,302400,226800,0,317520,317520,317520,317520,317520,317520,317520,317520,0,0
202115,2021-04-13,287280,302400,302393,317520,226800,90720,181440,408240,302400,302400,241920,302400,332640,272160,302400,302400,347760,378000,196560,378000,378000,393120,347760,362880,302400,302400,362880,347760,287280,272160,272160,362880,347760,317520,272160,362880,302400,241920,302400,362880,287280,302400,226800,0,317520,317520,317520,317520,317520,317520,317520,317520,0,0
202116,2021-04-20,287280,302400,302393,317520,226800,90720,392668,378295,302400,302400,241920,302400,332640,257040,332640,287280,347760,378000,211680,393120,362880,362880,362880,347760,317520,302400,362880,347760,287280,272160,272160,347760,362880,302400,287280,362880,302400,226800,317520,347760,302400,302400,211680,0,317520,317520,317520,317520,317520,317520,317520,317520,0,0
202117,2021-04-27,287280,302400,302393,317520,226800,90720,392668,241920,30240,317520,226800,257040,302400,241920,302400,257040,257040,272160,257040,257040,257040,257040,120960,241920,241920,226800,241920,241920,241920,241920,226800,241920,241920,241920,241920,241920,241920,226800,226800,241920,226800,241920,166320,0,317520,317520,317520,317520,317520,317520,317520,317520,0,0
202118,2021-05-04,287280,302400,302393,317520,226800,90720,392668,241920,256749,0,0,0,272160,257040,287280,272160,257040,272160,257040,257040,257040,257040,120960,241920,241920,226800,241920,241920,241920,241920,226800,241920,241920,241920,241920,241920,241920,226800,226800,241920,226800,241920,166320,0,317520,317520,317520,317520,317520,317520,317520,317520,0,0
202119,2021-05-11,287280,302400,302393,317520,226800,90720,392668,241920,256749,0,0,0,211680,241920,302400,257040,257040,257040,272160,257040,257040,241920,120960,226800,241920,226800,241920,241920,241920,226800,226800,241920,226800,241920,226800,241920,241920,226800,211680,241920,226800,226800,166320,0,317520,317520,317520,317520,317520,317520,317520,317520,0,0
202120,2021-05-18,287280,302400,302393,317520,226800,90720,392668,241920,256749,0,0,0,181440,241920,287280,241920,196560,226800,257040,226800,211680,196560,120960,241920,211680,166320,241920,241920,211680,181440,181440,241920,241920,196560,181440,241920,226800,181440,181440,241920,211680,196560,120960,0,317520,317520,317520,317520,317520,317520,317520,317520,0,0
