WW,Date,202129,202130,202131,202132,202133,202134,202135,202136,202137,202138,202139,202140,202141,202142,202143,202144,202145,202146,202147,202148,202149,202150,202151,202152,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202213,202214,202215,202216,202217,202218,202219,202220,202221,202222,202223,202224,202225,202226,202227,202228,202229,202252
202129,2021-07-20,151200,151200,136080,120960,136080,136080,151200,151200,151200,136080,151200,60480,166320,151200,151200,166320,151200,120960,120960,151200,136080,136080,105840,0,166320,166320,166320,166320,166320,166320,166320,166320,136080,136080,136080,136080,136080,166320,166320,166320,166320,166320,166320,166320,166320,136080,136080,136080,136080,136080,166320,166320,0,0
