Week,Inven,Prev_Inven_1,Prev_Inven_2,Prev_Inven_3,Prev_Inven_4,Prev_Inven_5,Prev_Inven_6,Prev_Inven_7,Prev_Inven_8
202038,799789,815885,921796,969377,843641,776196,702949,840283,1008402
202039,783857,799789,815885,921796,969377,843641,776196,702949,840283
202040,599409,783857,799789,815885,921796,969377,843641,776196,702949
202041,475433,599409,783857,799789,815885,921796,969377,843641,776196
202042,646295,475433,599409,783857,799789,815885,921796,969377,843641
202043,779657,646295,475433,599409,783857,799789,815885,921796,969377
202044,688083,779657,646295,475433,599409,783857,799789,815885,921796
202045,646901,688083,779657,646295,475433,599409,783857,799789,815885
202046,678227,646901,688083,779657,646295,475433,599409,783857,799789
202047,827122,678227,646901,688083,779657,646295,475433,599409,783857
202048,789573,827122,678227,646901,688083,779657,646295,475433,599409
202049,642683,789573,827122,678227,646901,688083,779657,646295,475433
202050,553609,642683,789573,827122,678227,646901,688083,779657,646295
202051,429176,553609,642683,789573,827122,678227,646901,688083,779657
202052,430909,429176,553609,642683,789573,827122,678227,646901,688083
202053,422602,430909,429176,553609,642683,789573,827122,678227,646901
202101,515639,422602,430909,429176,553609,642683,789573,827122,678227
202102,543389,515639,422602,430909,429176,553609,642683,789573,827122
202103,736056,543389,515639,422602,430909,429176,553609,642683,789573
202104,819596,736056,543389,515639,422602,430909,429176,553609,642683
202105,948104,819596,736056,543389,515639,422602,430909,429176,553609
202106,1040573,948104,819596,736056,543389,515639,422602,430909,429176
202107,1174008,1040573,948104,819596,736056,543389,515639,422602,430909
202108,1137451,1174008,1040573,948104,819596,736056,543389,515639,422602
202109,1154057,1137451,1174008,1040573,948104,819596,736056,543389,515639
202110,1230948,1154057,1137451,1174008,1040573,948104,819596,736056,543389
202111,1246419,1230948,1154057,1137451,1174008,1040573,948104,819596,736056
202112,1111362,1246419,1230948,1154057,1137451,1174008,1040573,948104,819596
202113,1160150,1111362,1246419,1230948,1154057,1137451,1174008,1040573,948104
202114,1193339,1160150,1111362,1246419,1230948,1154057,1137451,1174008,1040573
202115,1002560,1193339,1160150,1111362,1246419,1230948,1154057,1137451,1174008
202116,853427,1002560,1193339,1160150,1111362,1246419,1230948,1154057,1137451
202117,692545,853427,1002560,1193339,1160150,1111362,1246419,1230948,1154057
202118,525471,692545,853427,1002560,1193339,1160150,1111362,1246419,1230948
202119,558155,525471,692545,853427,1002560,1193339,1160150,1111362,1246419
202120,703941,558155,525471,692545,853427,1002560,1193339,1160150,1111362
202121,798726,703941,558155,525471,692545,853427,1002560,1193339,1160150
202122,616334,798726,703941,558155,525471,692545,853427,1002560,1193339
202123,559708,616334,798726,703941,558155,525471,692545,853427,1002560
202124,620417,559708,616334,798726,703941,558155,525471,692545,853427
202125,641708,620417,559708,616334,798726,703941,558155,525471,692545
